Code,Nome,Nome fantasia,Governança
BFIB,BANCO FIBRA S/A,FIBRABM,-
FICS,BANCO FICSA S/A,FICSABM,-
BFIA,BANCO FIDIS S/A,BANCOFIDISBM,-
BFRD,BANCO FORD S/A,FORDBM,-
BCGM,BANCO GMAC S.A.,GMACBM,-
GNBR,BANCO GUANABARA S/A,GUANABARABM,-
BCHD,BANCO HONDA S/A,HONDABM,-
IBML,BANCO IBM S/A,IBMBM,-
BSTD,BANCO INBURSA S/A,INBURSABM,-
BNRJ,BANCO ITAU CONSIGNADO S/A,ITAUCONSBM,-
BCFT,BANCO ITAU VEICULOS S/A,ITAUVEICULOS,-
ITBB,BANCO ITAU-BBA S/A,BBABM,-
ITAC,BANCO ITAUCARD S/A,ITAUCARDBM,-
FNTC,BANCO ITAUCRED FINANCIAMENTOS S/A,ITAUCREDBM,-
SAFR,BANCO J. SAFRA S/A,JSAFRABM,-
JPMG,BANCO J.P. MORGAN S/A,JPMORGANBM,-
BKEB,BANCO KEB HANA DO BRASIL S/A,KEBBC,-
HSBI,BANCO LOSANGO S/A - BM,LOSANGOBM,-
LUSO,BANCO LUSO BRASILEIRO S/A,LUSOBRASILEI,-
BMXM,BANCO MAXIMA S/A,MAXIMABC,-
DCLS,BANCO MERCEDES BENZ DO BRASIL S/A,MERCEDESBBM,-
WTLB,BANCO MIZUHO DO BRASIL S.A.,MIZUHOBM,-
MSDW,BANCO MORGAN STANLEY S.A.,MORGANSTANLE,-
BTMB,BANCO MUFG BRASIL S.A.,MUFGBM,-
BNSC,BANCO OLE BONSUCESSO CONSIGNADO S.A,BONSUCESSOCO,-
JBSB,BANCO ORIGINAL DO AGRONEGOCIO S/A,ORIGINALAGRO,-
BMTN,BANCO ORIGINAL S/A,ORIGINALBM,-
ORIV,BANCO OURINVEST S.A.,OURINVESTBM,-
BPSA,BANCO PSA FINANCE BRASIL S/A,PSAFINANCEBM,-
RBBK,BANCO RABOBANK INTERNATIONAL BRASIL S/A,RABOBANKBM,-
